Water Control Zone,Station,Dates,Sample No,Depth,Volatile Suspended Solids mg_L,Unionised Ammonia mg_L,Turbidity NTU,Total Phosphorus mg_L,Total Nitrogen mg_L,Total Kjeldahl Nitrogen mg_L,Total Inorganic Nitrogen mg_L,Temperature C,Suspended Solids mg_L,Silica mg_L,Secchi Disc Depth M,Salinity psu,Phaeo-pigments ug_L,pH,Orthophosphate Phosphorus mg_L,Nitrite Nitrogen mg_L,Nitrate Nitrogen mg_L,Faecal Coliforms cfu_100mL,E. coli cfu_100mL,Dissolved Oxygen mg_L,Dissolved Oxygen per_saturation,Chlorophyll-a ug_L,Ammonia Nitrogen mg_L,5-day Biochemical Oxygen Demand mg_L
Deep Bay,DM1,2017-01-07,1,Surface Water,6.8,0.031,16.9,0.75,9.5,9,5.7,23.1,22,12,1.0,6.8,7.9,7.1,0.41,0.4,0.1,310000,240000,1.8,22.0,29,5.2,8
Deep Bay,DM1,2017-02-01,1,Surface Water,13,0.005,42.7,0.38,4.24,2.1,3.34,19.2,110,7.1,1.5,17.7,6.2,7.0,0.15,0.34,1.8,7800,4500,4.5,54.0,7.8,1.2,4.9
Deep Bay,DM1,2017-03-06,1,Surface Water,9.8,0.013,15.5,0.35,5.3,3.5,3.8,20.5,30,7.1,1.5,17.1,9.5,7.2,0.22,0.5,1.3,22000,9700,7.1,87.0,42,2,4.9
Deep Bay,DM1,2017-04-08,1,Surface Water,4,0.01,17.3,0.26,4.34,2.7,3.14,24.0,22,7,1.7,16.3,7.5,7.1,0.23,0.34,1.3,1500,1100,4.0,53.0,17,1.5,3.7
Deep Bay,DM1,2017-05-10,1,Surface Water,10,0.074,31.0,0.41,4.4,3.5,2.3,27.9,58,3.4,0.3,10.3,15,7.9,0.2,0.25,0.65,16000,10000,8.5,115.0,82,1.4,6.6
Deep Bay,DM1,2017-06-07,1,Surface Water,6.6,0.024,18.0,0.44,3.98,2.7,2.88,31.3,26,11,1.0,9.0,3.7,7.2,0.33,0.41,0.87,8000,3100,4.1,58.0,4.1,1.6,3.4
Deep Bay,DM1,2017-07-10,1,Surface Water,4.5,0.018,17.9,0.35,3.84,2.9,3.04,30.1,22,12,1.0,3.2,7.3,7.0,0.23,0.42,0.52,6000,2600,5.0,68.0,8.8,2.1,1.8
Deep Bay,DM1,2017-08-11,1,Surface Water,6.4,0.015,21.0,0.29,2.96,1.7,2.36,31.1,45,4.2,1.5,8.2,5.4,7.2,0.16,0.63,0.63,1400,780,4.6,65.0,19,1.1,4.8
Deep Bay,DM1,2017-09-08,1,Surface Water,4,0.007,19.2,0.41,2.76,1.7,2.36,29.6,36,9.8,1.5,8.7,3.6,6.8,0.22,0.5,0.56,8200,3000,2.3,31.0,1.3,1.3,3
Deep Bay,DM1,2017-10-06,1,Surface Water,3.2,0.01,16.2,0.32,2.54,1.4,2.02,30.2,24,7.8,1.5,13.4,3.4,7.2,0.27,0.46,0.68,1900,670,4.2,60.0,5.6,0.88,1.8
Deep Bay,DM1,2017-11-06,1,Surface Water,6.3,0.007,28.0,0.21,2.19,0.78,1.99,22.9,60,3.2,1.5,22.9,9.5,7.4,0.19,0.31,1.1,880,330,7.3,97.0,11,0.58,2
Deep Bay,DM1,2017-12-04,1,Surface Water,8,0.008,48.1,0.35,3.4,1.6,3.1,22.2,69,6,1.0,21.7,6.8,7.2,0.2,0.4,1.4,5800,3200,4.6,60.0,7.2,1.3,3.5
Deep Bay,DM1,2018-01-03,1,Surface Water,14,0.004,54.1,0.28,3.05,0.93,2.69,19.1,98,4.7,1.8,23.3,8.6,7.3,0.13,0.22,1.9,790,490,5.8,72.0,6.9,0.57,2.2
Deep Bay,DM1,2018-02-22,1,Surface Water,7,0.002,25.7,0.24,3.12,0.89,2.74,18.8,49,5.8,1.1,22.0,6.4,7.0,0.12,0.13,2.1,340,190,5.3,65.0,2.5,0.51,2.3
Deep Bay,DM1,2018-03-01,1,Surface Water,3.3,0.003,24.2,0.24,3.65,1.1,3.19,22.1,28,5.7,1.0,18.6,4.4,6.9,0.14,0.15,2.4,2500,1600,4.7,60.0,5.7,0.64,2.4
