Water Control Zone,Station,Dates,Sample No,Depth,Volatile Suspended Solids mg_L,Unionised Ammonia mg_L,Turbidity NTU,Total Phosphorus mg_L,Total Nitrogen mg_L,Total Kjeldahl Nitrogen mg_L,Total Inorganic Nitrogen mg_L,Temperature C,Suspended Solids mg_L,Silica mg_L,Secchi Disc Depth M,Salinity psu,Phaeo-pigments ug_L,pH,Orthophosphate Phosphorus mg_L,Nitrite Nitrogen mg_L,Nitrate Nitrogen mg_L,Faecal Coliforms cfu_100mL,E. coli cfu_100mL,Dissolved Oxygen mg_L,Dissolved Oxygen per_saturation,Chlorophyll-a ug_L,Ammonia Nitrogen mg_L,5-day Biochemical Oxygen Demand mg_L
North Western,NM1,2021-06-07,1,Surface Water,1.6,0.002,5.8,,,,0.65,26.7,3.2,2.4,1.7,25.8,7.6,7.7,0.006,0.093,0.5,11,3,6.2,85.0,15,0.056,1.6
North Western,NM1,2021-07-08,1,Surface Water,2.4,<0.001,5.4,,,,0.72,28.7,5.2,1.1,2.1,21.1,2.4,7.8,0.008,0.074,0.62,26,11,5.6,86.0,23,0.024,1.8
North Western,NM1,2021-08-19,1,Surface Water,<0.5,0.001,4.1,,,,0.73,28.6,3.2,1.8,2.7,22.7,1.6,7.5,<0.002,0.13,0.54,5,2,4.6,67.0,11,0.059,0.9
North Western,NM1,2021-09-03,1,Surface Water,0.8,<0.001,3.4,,,,0.72,28.1,2.2,2,5.1,27.5,1.5,7.2,0.027,0.063,0.57,2,<1,6.0,68.0,2.8,0.088,0.7
North Western,NM1,2021-10-25,1,Surface Water,2.2,0.002,9.9,,,,0.2,26.3,12,1.2,2.1,32.8,<0.2,7.8,0.007,0.078,0.046,1100,670,5.2,78.0,<0.2,0.078,0.1
North Western,NM1,2021-11-15,1,Surface Water,1.4,<0.001,11.6,0.07,0.82,0.62,0.3,24.5,3.6,0.78,2.5,32.8,0.4,7.2,0.018,0.053,0.15,19,12,5.0,73.0,2.1,0.094,0.6
North Western,NM1,2021-12-03,1,Surface Water,0.9,<0.001,8.0,0.04,0.98,0.86,0.24,22.4,6.7,0.61,1.5,33.5,0.3,7.3,0.02,0.052,0.066,370,260,6.3,88.0,1,0.12,0.7
North Western,NM1,2022-01-14,1,Surface Water,0.6,<0.001,10.2,0.04,0.55,0.42,0.27,19.4,3.2,0.78,2.3,33.4,<0.2,7.0,0.021,0.04,0.093,350,180,5.3,70.0,0.4,0.14,0.6
North Western,NM1,2022-02-23,1,Surface Water,<0.5,<0.001,6.7,0.07,1.31,1.2,0.23,15.9,2,0.8,2.2,32.1,0.3,7.4,0.023,0.017,0.093,2700,1500,6.1,75.0,0.2,0.12,0.5
North Western,NM1,2022-03-31,1,Surface Water,<0.5,0.002,8.6,0.03,0.42,0.21,0.37,21.2,3.1,1.1,1.9,29.4,1.2,7.6,0.013,0.012,0.2,670,360,5.4,73.0,0.4,0.16,0.4
North Western,NM1,2022-04-07,1,Surface Water,0.8,0.003,7.8,0.04,0.5,0.32,0.37,21.2,3.5,1.3,2.5,29.8,0.3,7.7,0.002,0.012,0.17,5700,3300,6.7,90.0,0.5,0.19,0.5
North Western,NM1,2022-05-11,1,Surface Water,1.2,0.003,6.2,0.03,0.36,0.22,0.2,25.3,2.8,0.5,3.6,25.8,0.6,8.0,<0.002,0.021,0.12,130,65,6.7,94.0,3.2,0.058,1.1
North Western,NM1,2022-06-23,1,Surface Water,1.6,<0.001,15.6,0.05,1.51,0.14,1.38,27.6,9.2,8.3,1.9,5.3,0.7,7.7,<0.002,0.066,1.3,2800,420,5.5,72.0,1.2,0.011,<0.1
North Western,NM1,2022-07-14,1,Surface Water,1,0.001,8.1,0.03,1.06,0.25,0.84,28.6,5.6,5,1.9,18.9,2.7,7.8,<0.002,0.037,0.77,640,330,5.8,83.0,6.1,0.033,0.7
North Western,NM1,2022-08-29,1,Surface Water,1.4,0.001,99.5,0.05,0.49,0.12,0.46,28.2,5.1,2,1.9,27.5,1.2,7.3,0.019,0.056,0.31,6900,3900,4.4,58.0,1.3,0.096,0.9
North Western,NM1,2022-09-08,1,Surface Water,1.1,0.001,21.6,0.07,0.48,0.27,0.26,28.6,3.1,0.83,2.8,30.0,0.6,7.6,0.008,0.036,0.17,27,10,5.3,81.0,5.3,0.053,1.2
North Western,NM1,2022-10-07,1,Surface Water,2,0.003,4.0,0.06,0.58,0.18,0.49,29.1,9.5,1.6,1.9,29.5,1.3,7.8,0.032,0.1,0.3,33,15,5.3,81.0,1,0.089,0.2
North Western,NM1,2022-11-17,1,Surface Water,0.6,0.001,30.7,0.1,0.77,0.38,0.48,24.5,2.2,1.9,2.5,31.5,<0.2,7.5,0.023,0.081,0.31,20,15,5.0,72.0,1,0.091,0.2
North Western,NM1,2022-12-07,1,Surface Water,1.5,0.002,5.9,0.06,0.9,0.84,0.19,22.7,7.8,0.6,2.8,32.9,<0.2,7.5,0.007,0.007,0.056,9600,5000,5.2,72.0,0.9,0.13,0.3
North Western,NM2,2015-01-12,1,Surface Water,1.1,0.002,5.3,0.12,1.46,1.3,0.3,17.8,2.8,0.28,3.8,31.3,<0.2,7.8,0.017,0.018,0.14,33,12,7.0,89.0,1.2,0.14,1
North Western,NM2,2015-02-09,1,Surface Water,0.7,0.002,3.9,0.04,0.79,0.51,0.45,17.0,1.8,0.86,2.7,30.6,<0.2,7.8,0.019,0.025,0.25,3,1,7.5,93.0,2.1,0.17,<0.1
North Western,NM2,2015-03-11,1,Surface Water,<0.5,0.003,2.9,0.03,0.85,0.51,0.52,18.9,2.3,0.88,2.6,30.2,2,7.7,0.014,0.031,0.31,88,43,7.0,90.0,<0.2,0.18,<0.1
North Western,NM2,2015-04-20,1,Surface Water,0.6,0.003,2.8,0.03,0.64,0.32,0.45,23.1,3,0.8,2.7,30.7,<0.2,7.8,0.018,0.027,0.29,230,150,6.0,83.0,1.7,0.13,0.6
North Western,NM2,2015-05-07,1,Surface Water,0.8,0.009,4.1,0.04,1.35,0.67,0.86,26.1,2.8,0.84,2.1,25.2,1.4,8.0,0.019,0.072,0.61,120,87,5.4,76.0,1.7,0.18,0.4
North Western,NM2,2015-06-10,1,Surface Water,<0.5,0.002,5.0,0.06,1.9,0.34,1.63,28.8,<0.5,9.3,1.3,13.4,1,7.7,0.043,0.064,1.5,88,33,6.3,87.0,3.9,0.065,1.2
North Western,NM2,2015-07-03,1,Surface Water,1.4,<0.001,23.5,0.06,1.2,0.2,1.02,28.7,1.4,4.6,1.7,19.6,2.5,8.0,0.029,0.09,0.91,100,16,6.0,86.0,6.5,0.018,2.3
North Western,NM2,2015-08-19,1,Surface Water,0.6,0.001,4.0,0.07,1.13,0.15,1.02,28.0,1.4,4.8,3.0,22.5,1.6,7.8,0.038,0.19,0.79,31,8,5.1,74.0,2.2,0.043,0.6
North Western,NM2,2015-09-16,1,Surface Water,1.6,0.004,5.1,0.07,0.91,0.37,0.63,27.5,16,2.8,1.5,26.8,0.7,7.9,0.034,0.091,0.45,47,16,5.4,79.0,1.7,0.093,0.2
North Western,NM2,2015-10-12,1,Surface Water,0.9,<0.001,5.2,0.05,0.75,0.43,0.33,27.0,4.1,2,2.5,30.6,<0.2,7.8,0.026,0.14,0.18,22,5,5.5,82.0,1.3,0.011,0.4
North Western,NM2,2015-11-11,1,Surface Water,<0.5,0.003,4.4,0.06,0.54,0.3,0.35,26.4,3.9,1.1,2.5,30.8,<0.2,7.7,0.026,0.061,0.18,30,16,5.4,80.0,1.8,0.11,<0.1
North Western,NM2,2015-12-02,1,Surface Water,2.4,<0.001,6.1,0.08,0.76,0.17,0.64,23.6,18,3.1,2.5,26.7,<0.2,7.6,0.034,0.1,0.49,45,12,5.8,80.0,1,0.048,1.3
North Western,NM2,2016-01-13,1,Surface Water,1.8,0.01,1.8,0.06,0.85,0.51,0.5,19.6,9.4,1.1,2.4,29.6,0.7,8.3,0.009,0.039,0.3,65,33,7.2,94.0,6.7,0.16,0.7
North Western,NM2,2016-02-01,1,Surface Water,0.6,0.002,12.0,0.06,0.99,0.52,0.78,15.0,3.9,2.5,3.0,25.7,0.9,7.4,0.033,0.048,0.42,320,90,7.2,84.0,1.1,0.31,0.7
North Western,NM2,2016-03-02,1,Surface Water,0.8,0.005,1.1,0.09,0.74,0.45,0.43,16.5,1.4,1.3,4.0,29.1,0.5,8.2,0.019,0.019,0.27,3,3,7.3,90.0,4,0.14,1.1
North Western,NM2,2016-04-25,1,Surface Water,2.8,0.005,3.4,0.11,1.18,0.31,1.08,22.6,14,4.5,2.3,20.8,0.4,7.8,0.039,0.085,0.78,180,75,4.6,60.0,0.5,0.21,0.8
North Western,NM2,2016-05-13,1,Surface Water,0.8,0.002,497.5,0.09,1.24,0.23,1.15,25.4,3,5.8,2.0,17.5,0.8,7.5,0.066,0.069,0.94,93,40,5.4,73.0,1.5,0.14,1
North Western,NM2,2016-06-20,1,Surface Water,1.2,0.003,4.1,0.12,1.49,0.28,1.27,28.6,3,7.7,2.0,14.1,2.9,7.9,0.048,0.11,1.1,110,58,5.4,76.0,3.8,0.056,1
North Western,NM2,2016-07-14,1,Surface Water,0.8,0.003,5.0,0.08,1.68,0.31,1.45,28.3,2.6,7.3,3.0,12.0,1.2,7.7,0.05,0.069,1.3,260,90,6.4,88.0,1.8,0.085,0.7
North Western,NM2,2016-08-01,1,Surface Water,1.8,0.002,5.3,0.12,0.97,0.49,0.52,27.0,4.2,2.2,2.5,25.2,3.3,8.0,<0.002,0.038,0.44,16,6,6.4,92.0,18,0.038,1.9
North Western,NM2,2016-09-02,1,Surface Water,0.7,0.003,6.1,0.14,0.96,0.28,0.77,28.1,4.7,4,2.0,24.8,0.7,7.7,0.042,0.11,0.57,56,27,4.5,67.0,0.8,0.091,0.5
North Western,NM2,2016-10-07,1,Surface Water,3.6,0.002,4.0,0.06,0.41,0.11,0.35,28.9,10,2.3,3.0,29.1,0.5,7.9,0.024,0.097,0.2,14,5,5.4,82.0,4.5,0.051,1
North Western,NM2,2016-11-07,1,Surface Water,0.8,0.002,8.0,0.07,0.96,0.53,0.49,26.1,3.6,1.5,2.0,29.1,<0.2,7.8,0.043,0.087,0.34,51,14,5.7,83.0,1.5,0.06,0.6
North Western,NM2,2016-12-07,1,Surface Water,0.8,0.002,4.8,0.05,0.9,0.55,0.41,21.8,4,1.8,2.5,29.6,0.7,7.9,0.02,0.071,0.28,22,6,6.1,83.0,1.5,0.055,0.3
North Western,NM2,2017-01-04,1,Surface Water,1,0.008,5.2,0.04,0.5,0.26,0.38,20.3,3.8,0.38,3.0,29.7,2.4,8.3,0.012,0.019,0.22,630,330,7.9,104.0,4.2,0.14,1.2
North Western,NM2,2017-02-06,1,Surface Water,0.8,0.002,4.6,0.08,0.66,0.31,0.52,19.6,3.2,1.5,3.0,29.1,<0.2,7.6,0.019,0.035,0.31,13,6,5.9,76.0,1.2,0.17,0.6
North Western,NM2,2017-03-01,1,Surface Water,0.8,0.002,4.1,0.07,1.17,0.96,0.33,17.4,4.6,1.3,2.5,31.0,<0.2,7.9,0.026,0.02,0.19,50,44,6.9,86.0,1.4,0.12,0.8
North Western,NM2,2017-04-03,1,Surface Water,0.6,0.006,2.8,0.12,0.88,0.3,0.78,20.6,2.5,2.3,3.0,27.4,<0.2,7.9,0.033,0.051,0.53,5,4,6.7,88.0,0.8,0.2,<0.1
North Western,NM2,2017-05-08,1,Surface Water,1.1,0.004,3.8,0.08,0.9,0.22,0.79,25.4,3.4,1.9,3.1,25.0,1.2,7.8,0.007,0.045,0.63,36,19,6.5,92.0,4.4,0.11,0.7
North Western,NM2,2017-06-19,1,Surface Water,1.6,0.003,5.9,0.08,2.19,0.32,1.95,28.3,5.9,7.5,1.9,9.6,2.4,7.7,0.046,0.17,1.7,2500,450,6.5,88.0,5.2,0.08,1.4
North Western,NM2,2017-07-06,1,Surface Water,1.9,0.003,4.8,0.08,1.91,0.28,1.74,27.9,6.9,8,2.2,9.8,2.5,7.6,0.044,0.13,1.5,800,330,6.2,83.0,2.8,0.11,1.4
North Western,NM2,2017-08-14,1,Surface Water,0.7,0,2.6,0.08,1.13,0.13,1.01,29.6,2.8,5.8,2.1,17.6,0.4,7.8,0.034,0.21,0.79,16,6,5.5,80.0,1.4,<0.005,0.2
North Western,NM2,2017-09-06,1,Surface Water,0.7,0.001,3.2,0.11,1.1,0.13,1.01,28.0,4.1,3.9,2.5,20.6,<0.2,7.7,0.041,0.22,0.75,69,21,4.6,66.0,0.8,0.036,<0.1
North Western,NM2,2017-10-11,1,Surface Water,1,0.001,4.4,0.04,0.81,0.34,0.49,29.7,6.3,2.7,2.5,27.3,0.6,7.9,0.023,0.15,0.32,49,20,4.6,70.0,0.9,0.019,0.3
North Western,NM2,2017-11-08,1,Surface Water,3.8,0.001,4.4,0.04,0.53,0.38,0.19,24.6,29,1.1,2.5,32.4,0.4,7.9,0.019,0.042,0.11,110,52,5.2,75.0,1.4,0.041,0.6
North Western,NM2,2017-12-15,1,Surface Water,1.4,0.004,7.8,0.04,0.91,0.72,0.32,21.1,11,1.2,2.5,32.9,0.3,8.0,0.03,0.031,0.16,29,12,5.7,78.0,0.7,0.13,0.2
North Western,NM2,2018-01-11,1,Surface Water,1,0.002,6.8,0.03,0.71,0.5,0.3,16.3,3.5,1.3,2.5,32.0,<0.2,8.0,0.026,0.017,0.19,7,1,6.5,81.0,0.5,0.089,0.2
North Western,NM2,2018-02-23,1,Surface Water,1.6,0.004,7.2,0.03,0.74,0.5,0.36,16.8,7.1,0.62,3.5,31.0,1.1,8.1,0.003,0.019,0.22,25,7,7.1,89.0,2.2,0.12,0.7
North Western,NM2,2018-03-08,1,Surface Water,1,0.005,5.5,0.04,1.12,0.88,0.37,18.3,2.3,0.8,3.0,30.6,1.3,8.2,0.002,0.013,0.23,48,17,6.7,86.0,1.4,0.13,1.6
North Western,NM2,2018-04-12,1,Surface Water,2.4,0.005,2.8,0.03,0.72,0.36,0.48,23.6,9.6,1.3,2.5,29.1,1.7,8.0,0.007,0.03,0.33,31,17,6.2,86.0,3.8,0.12,1.3
North Western,NM2,2018-05-10,1,Surface Water,1.9,0.002,3.6,0.03,0.75,0.29,0.56,25.5,9,0.45,3.6,28.0,2.7,7.7,0.006,0.038,0.42,420,120,6.2,88.0,3.4,0.1,0.7
North Western,NM2,2018-06-06,1,Surface Water,2.1,0.002,1.9,0.03,0.92,0.28,0.69,28.2,6.7,1.4,3.0,24.3,3.6,7.9,0.018,0.1,0.54,54,25,5.3,77.0,10,0.049,0.9
North Western,NM2,2018-07-11,1,Surface Water,2.5,0.004,3.2,0.03,0.96,0.26,0.74,28.7,7.6,2,2.5,21.1,7.5,8.2,0.016,0.089,0.61,15,7,7.6,111.0,25,0.045,2.3
North Western,NM2,2018-08-15,1,Surface Water,1.2,0.003,4.8,0.04,0.82,0.23,0.66,28.5,8.2,2.4,2.5,25.7,0.4,7.9,0.036,0.13,0.46,320,210,4.4,66.0,0.9,0.069,0.4
North Western,NM2,2018-09-06,1,Surface Water,0.8,<0.001,3.9,0.05,0.95,0.24,0.72,29.0,5.9,3.2,2.5,17.4,0.3,7.9,0.027,0.16,0.55,100,70,6.5,92.0,1.6,<0.005,0.8
North Western,NM2,2018-10-15,1,Surface Water,1.4,0.002,3.6,0.04,0.62,0.2,0.45,26.6,6.3,2.1,2.2,29.0,0.8,8.2,0.03,0.13,0.29,120,54,5.8,85.0,0.6,0.025,0.5
North Western,NM2,2018-11-08,1,Surface Water,3.1,0.002,4.6,0.03,0.26,0.17,0.16,25.1,17,0.41,2.0,32.3,2.4,7.9,0.013,0.016,0.076,360,160,5.6,81.0,4.9,0.064,1
North Western,NM2,2018-12-06,1,Surface Water,0.8,0.002,2.3,0.04,0.62,0.22,0.45,23.8,6,1.8,2.0,30.4,<0.2,7.9,0.026,0.12,0.28,74,38,5.4,77.0,1.4,0.054,0.5
North Western,NM2,2019-01-23,1,Surface Water,2.5,0.003,6.6,0.04,1.05,0.74,0.44,18.6,19,1.8,1.9,31.4,0.9,7.9,0.019,0.02,0.29,160,130,6.4,83.0,1.2,0.13,0.5
North Western,NM2,2019-02-22,1,Surface Water,1,0.003,1.4,0.03,0.82,0.54,0.38,20.6,4.6,0.41,2.7,29.6,4,7.9,0.012,0.013,0.27,110,99,6.3,84.0,4.5,0.095,1
North Western,NM2,2019-03-04,1,Surface Water,1.8,0.002,0.5,0.03,0.72,0.37,0.4,21.3,3.5,0.29,4.3,28.8,1.3,8.2,0.008,0.018,0.33,1,<1,8.0,106.0,3.2,0.048,0.5
North Western,NM2,2019-04-03,1,Surface Water,2.1,0.004,1.2,0.03,0.67,0.35,0.45,22.6,8.1,1.3,2.5,29.9,0.3,7.9,0.021,0.017,0.3,18,5,5.7,78.0,0.7,0.13,0.5
North Western,NM2,2019-05-15,1,Surface Water,5.1,0.002,3.2,0.03,0.88,0.21,0.7,26.1,18,1.4,2.3,21.7,8.5,7.9,0.007,0.036,0.63,40,23,7.6,106.0,11,0.037,1.7
North Western,NM2,2019-06-20,1,Surface Water,1.4,0.002,2.7,0.04,1.53,0.76,0.86,28.4,8.2,4.3,2.3,18.9,1.3,7.5,0.032,0.062,0.71,240,110,4.7,68.0,4.9,0.085,0.6
North Western,NM2,2019-07-03,1,Surface Water,1.3,0.01,19.0,0.02,0.52,0.07,0.48,31.9,7.2,3.6,2.0,16.9,6.7,8.7,0.015,0.049,0.4,21,10,4.8,73.0,11,0.032,0.9
North Western,NM2,2019-08-17,1,Surface Water,1.8,0.002,2.7,0.04,1.1,0.3,0.84,29.5,8.7,4.1,1.8,20.7,2.3,8.0,0.027,0.13,0.67,39,11,5.9,87.0,4.2,0.036,0.5
North Western,NM2,2019-09-04,1,Surface Water,1.4,0.001,4.5,0.05,0.76,0.28,0.5,27.8,10,2,2.5,24.5,0.5,7.9,0.032,0.15,0.33,700,230,5.5,81.0,0.7,0.024,0.4
North Western,NM2,2019-10-11,1,Surface Water,3.1,0.001,9.0,0.04,0.66,0.26,0.43,29.4,13,1.9,1.7,27.9,<0.2,7.9,0.012,0.13,0.27,17,5,5.0,77.0,12,0.03,0.9
North Western,NM2,2019-11-11,1,Surface Water,1.4,0.001,3.1,0.06,0.65,0.55,0.12,26.1,3.9,0.56,2.3,32.6,2.4,8.0,0.006,0.038,0.06,18,1,6.6,97.0,7.3,0.025,1.1
North Western,NM2,2019-12-13,1,Surface Water,1.7,0.004,6.5,0.06,0.45,0.34,0.22,20.4,15,1.1,1.8,33.4,1.7,8.1,0.01,0.033,0.077,440,250,6.2,83.0,0.8,0.11,0.3
North Western,NM2,2020-01-10,1,Surface Water,1.8,0.007,5.1,0.06,0.9,0.48,0.59,20.7,11,1.7,2.0,30.5,1.4,8.1,0.033,0.031,0.39,180,110,6.4,85.0,0.8,0.17,0.3
North Western,NM2,2020-04-16,1,Surface Water,0.6,0.002,2.1,0.04,0.91,0.32,0.68,21.9,3.4,2.6,2.3,25.3,2.4,7.7,0.017,0.025,0.56,21,13,6.7,89.0,1.7,0.096,0.3
North Western,NM2,2020-05-29,1,Surface Water,0.9,0.001,2.9,0.03,0.74,<0.05,0.74,27.4,2.9,3.5,2.1,23.2,1.6,7.8,0.018,0.15,0.54,37,10,5.2,75.0,1.1,0.046,0.7
North Western,NM2,2020-06-05,1,Surface Water,1.9,<0.001,4.9,0.03,1.0,0.05,0.96,28.4,9.2,4.8,2.1,18.6,1.7,7.7,0.024,0.15,0.8,47,9,6.5,93.0,3,0.014,0.7
North Western,NM2,2020-07-13,1,Surface Water,3.2,0.004,3.5,0.05,1.18,0.23,0.98,30.6,11,4.3,1.7,14.7,3.1,8.2,0.017,0.064,0.89,890,150,6.7,97.0,25,0.03,1.1
North Western,NM2,2020-09-25,1,Surface Water,1,<0.001,4.2,0.09,0.88,0.06,0.84,29.6,2.4,3.7,2.1,22.2,1.1,7.7,0.037,0.19,0.63,4,1,5.1,76.0,0.8,0.017,0.5
North Western,NM2,2020-10-07,1,Surface Water,2,0.004,4.1,0.1,0.69,0.32,0.45,28.3,10,2.4,2.6,27.4,0.4,7.9,0.029,0.072,0.3,78,38,5.2,78.0,0.9,0.078,0.7
North Western,NM2,2020-11-18,1,Surface Water,0.8,0.003,6.5,0.06,0.42,0.23,0.28,23.9,4.3,0.52,2.2,31.5,1.4,7.9,0.02,0.026,0.16,97,44,6.1,87.0,1.5,0.095,0.8
North Western,NM2,2021-02-17,1,Surface Water,2.6,0.003,3.7,0.05,1.04,0.87,0.29,19.7,9.8,0.36,2.3,29.4,0.8,8.0,0.002,0.002,0.17,58,45,5.5,71.0,11,0.12,3
North Western,NM2,2021-03-04,1,Surface Water,1.2,0.002,4.6,0.06,0.69,0.52,0.34,20.4,4.7,0.74,2.1,30.3,<0.2,7.7,0.017,0.013,0.16,84,52,4.5,60.0,1.3,0.17,0.6
North Western,NM2,2021-04-08,1,Surface Water,0.7,0.002,2.8,0.04,0.73,0.54,0.32,24.1,1.4,0.81,3.5,31.2,0.6,7.4,0.015,0.008,0.18,47,21,4.2,60.0,3.2,0.13,0.7
North Western,NM2,2021-05-13,1,Surface Water,1.2,0.001,4.8,,,,0.51,28.2,2.8,2.1,2.0,22.4,<0.2,7.5,0.016,0.078,0.36,7,3,4.9,71.0,4.5,0.067,1
North Western,NM2,2021-06-07,1,Surface Water,1.6,0.001,5.3,,,,0.67,27.1,4.1,2.4,1.7,24.4,6.4,7.6,0.007,0.1,0.51,13,5,5.4,77.0,13,0.058,1.9
North Western,NM2,2021-07-08,1,Surface Water,2.2,0.001,10.6,,,,0.9,28.7,5.6,2.1,1.9,19.4,3.4,7.6,0.009,0.084,0.76,27,13,4.5,65.0,22,0.052,1.4
North Western,NM2,2021-08-19,1,Surface Water,0.6,<0.001,4.0,,,,0.72,29.1,2.2,1.8,2.7,22.8,1.3,7.3,<0.002,0.13,0.54,1,<1,4.8,71.0,8.9,0.051,0.9
North Western,NM2,2021-09-03,1,Surface Water,1.8,<0.001,3.3,,,,0.92,28.6,7.3,2.5,3.0,25.8,0.7,7.2,0.025,0.077,0.79,3,<1,4.9,67.0,1.9,0.049,0.7
North Western,NM2,2021-10-25,1,Surface Water,1,0.001,8.3,,,,0.22,25.9,5,1.4,2.0,32.5,<0.2,7.9,0.017,0.12,0.062,150,75,5.7,84.0,0.6,0.04,<0.1
North Western,NM2,2021-11-15,1,Surface Water,0.9,0.001,9.0,0.08,0.62,0.36,0.35,24.3,3.1,0.89,2.5,32.4,0.9,7.5,0.018,0.057,0.2,13,8,6.0,86.0,2.1,0.089,7
North Western,NM2,2021-12-03,1,Surface Water,0.8,0.002,16.6,0.04,0.71,0.6,0.23,22.4,5.5,0.64,1.9,33.4,0.4,7.6,0.019,0.054,0.057,700,380,6.1,85.0,0.9,0.12,0.7
North Western,NM2,2022-01-14,1,Surface Water,0.6,0.001,15.0,0.05,0.78,0.63,0.31,19.4,3.8,0.83,2.4,33.5,<0.2,7.4,0.022,0.048,0.1,41,32,7.1,94.0,0.5,0.16,0.2
North Western,NM2,2022-02-23,1,Surface Water,0.7,<0.001,7.0,0.08,1.3,1.2,0.21,15.7,3.3,0.77,2.6,32.3,<0.2,7.5,0.006,0.017,0.087,360,210,6.4,78.0,0.5,0.11,0.5
North Western,NM2,2022-04-07,1,Surface Water,1.7,0.003,6.8,0.04,0.55,0.21,0.51,21.6,9.2,1.7,2.5,27.7,<0.2,7.7,0.006,0.02,0.32,92,58,7.0,94.0,0.7,0.17,0.5
North Western,NM2,2022-05-11,1,Surface Water,0.8,0.004,6.2,0.03,0.44,0.23,0.28,25.4,1.8,1.1,3.1,23.5,1.9,8.1,<0.002,0.03,0.18,34,13,7.0,98.0,6,0.069,0.7
North Western,NM2,2022-06-23,1,Surface Water,1.7,<0.001,18.4,0.05,1.45,0.19,1.29,27.3,8.6,8,1.8,7.7,0.6,7.7,<0.002,0.064,1.2,2500,460,5.1,67.0,0.7,0.026,<0.1
North Western,NM2,2022-07-14,1,Surface Water,0.6,0.001,8.5,0.03,1.23,0.28,0.97,29.2,4.5,6.1,1.7,14.8,1.5,7.9,<0.002,0.042,0.91,130,62,5.9,83.0,3.6,0.022,0.9
North Western,NM2,2022-08-29,1,Surface Water,1.3,<0.001,39.5,0.05,0.74,0.16,0.66,29.0,4.2,2.9,2.0,24.4,1.6,7.3,0.022,0.082,0.5,430,170,4.9,73.0,1.5,0.079,1
North Western,NM2,2022-09-08,1,Surface Water,1.1,<0.001,26.2,0.06,0.41,0.19,0.27,28.6,4.2,0.92,2.6,29.7,1.8,7.4,0.005,0.037,0.18,8,2,5.1,77.0,3.3,0.054,0.7
North Western,NM2,2022-10-07,1,Surface Water,0.6,0.003,4.3,0.07,0.56,0.11,0.53,29.3,4,1.7,1.7,28.9,0.3,7.9,0.033,0.11,0.34,5,2,5.0,76.0,0.6,0.078,<0.1
North Western,NM2,2022-11-17,1,Surface Water,0.8,<0.001,34.4,0.08,0.96,0.55,0.5,24.8,2.8,2,1.7,31.1,0.3,7.2,0.022,0.084,0.33,4,1,4.8,69.0,0.5,0.081,0.2
North Western,NM2,2022-12-07,1,Surface Water,1.1,0.001,3.5,0.06,0.9,0.84,0.17,22.8,6.5,0.54,2.3,32.9,0.3,7.5,0.006,0.006,0.054,25,9,5.4,76.0,0.5,0.11,0.1
North Western,NM3,2015-01-12,1,Surface Water,0.9,0.005,8.2,0.05,0.65,0.5,0.43,17.9,4.8,0.29,2.4,31.3,<0.2,7.8,0.028,0.018,0.13,85,42,6.9,87.0,1.5,0.28,0.5
North Western,NM3,2015-02-09,1,Surface Water,0.8,0.002,3.1,0.04,0.77,0.51,0.43,17.0,4.2,0.85,2.6,30.7,<0.2,7.7,0.013,0.024,0.24,28,8,7.3,91.0,3,0.17,<0.1
North Western,NM3,2015-03-11,1,Surface Water,3.3,0.003,4.7,0.03,0.84,0.51,0.51,18.9,16,0.89,2.2,30.4,0.5,7.7,0.024,0.03,0.3,110,48,6.5,84.0,0.7,0.18,<0.1
North Western,NM3,2015-04-20,1,Surface Water,0.9,0.003,4.4,0.04,0.61,0.19,0.54,23.5,4.6,0.92,2.6,29.4,0.5,7.8,0.017,0.038,0.38,95,51,6.2,86.0,1,0.12,0.4
North Western,NM3,2015-05-07,1,Surface Water,0.6,0.011,5.1,0.04,1.33,0.52,1.02,26.7,4.1,1.1,1.6,22.8,1.6,8.0,0.018,0.088,0.72,70,28,5.9,84.0,1.6,0.21,0.4
North Western,NM3,2015-06-10,1,Surface Water,1.4,0.002,4.2,0.08,1.58,0.32,1.31,28.6,3.3,7.3,1.6,17.3,2.6,7.8,0.038,0.06,1.2,84,37,5.9,84.0,3.4,0.052,1.3
North Western,NM3,2015-07-03,1,Surface Water,0.5,0.002,6.7,0.08,1.65,0.22,1.46,29.4,1.7,6.8,1.5,15.2,3.2,7.9,0.042,0.13,1.3,210,28,6.0,86.0,3.8,0.028,3.7
North Western,NM3,2015-08-19,1,Surface Water,1,0.001,5.5,0.07,1.15,0.18,1.01,27.8,3.5,4.6,2.5,23.3,1.1,7.7,0.041,0.19,0.78,110,44,4.9,71.0,1.2,0.037,0.6
North Western,NM3,2015-09-16,1,Surface Water,2.4,0.004,8.2,0.1,1.15,0.65,0.6,27.3,21,2.7,1.8,27.3,1.5,7.9,0.034,0.087,0.41,260,80,5.0,74.0,1.1,0.1,0.5
North Western,NM3,2015-10-12,1,Surface Water,1,<0.001,6.3,0.06,0.84,0.53,0.32,27.3,6.5,1.9,2.0,30.8,0.6,7.8,0.026,0.14,0.17,240,86,5.2,78.0,0.7,0.012,0.4
North Western,NM3,2015-11-11,1,Surface Water,0.8,0.003,4.9,0.05,0.65,0.33,0.43,26.5,4.8,1.2,3.0,30.0,0.6,7.7,0.028,0.066,0.25,320,190,4.4,64.0,2.3,0.11,<0.1
